NAME                           STATUS   AGE
calico-cloud                   Active   10h
calico-system                  Active   10h
default                        Active   10h
hipstershop                    Active   10h
hipstershop1                   Active   27m
hipstershop2                   Active   27m
kube-node-lease                Active   10h
kube-public                    Active   10h
kube-system                    Active   10h
tigera-access                  Active   10h
tigera-compliance              Active   10h
tigera-dex                     Active   10h
tigera-dpi                     Active   10h
tigera-elasticsearch           Active   10h
tigera-fluentd                 Active   10h
tigera-guardian                Active   10h
tigera-image-assurance         Active   10h
tigera-intrusion-detection     Active   10h
tigera-license                 Active   10h
tigera-manager                 Active   10h
tigera-operator                Active   10h
tigera-operator-cloud          Active   10h
tigera-packetcapture           Active   10h
tigera-policy-recommendation   Active   10h
tigera-prometheus              Active   10h
tigera-risk-system             Active   10h
tigera-runtime-security        Active   31m
tigera-skraper                 Active   10h
tigera-system                  Active   10h
vote                           Active   46m
